ID-Produto;Produto;Categoria;Data Venda;Custo
SKU-0000001;LG K10 TV Power;Celulares;04/10/2012; R$ 345,00 
SKU-0000002;Geladeira Duplex;Eletrodomésticos;01/01/2012; R$ 712,00 
SKU-0000003;Lavadora 11 Kg;Eletrodomésticos;02/02/2012; R$ 390,00 
SKU-0000004;Lavadora 11 Kg;Eletrodomésticos;03/03/2012; R$ 200,00 
SKU-0000005;Lavadora 11 Kg;Eletrodomésticos;04/04/2012; R$ 234,00 
SKU-0000006;Lavadora 11 Kg;Eletrodomésticos;04/05/2012; R$ 90,00 
SKU-0000007;Geladeira Duplex;Eletrodomésticos;04/06/2012; R$ 134,00 
SKU-0000008;Geladeira Duplex;Eletrodomésticos;04/07/2012; R$ 800,00 
SKU-0000009;Geladeira Duplex;Eletrodomésticos;04/08/2012; R$ 400,00 
SKU-0000010;Geladeira Duplex;Eletrodomésticos;04/09/2012; R$ 600,00 
SKU-0000011;Geladeira Duplex;Eletrodomésticos;04/09/2012; R$ 560,00 
SKU-0000012;Geladeira Duplex;Eletrodomésticos;04/11/2012; R$ 790,00 
SKU-0000013;Geladeira Duplex;Eletrodomésticos;04/11/2012; R$ 790,00 
SKU-0000014;Geladeira Duplex;Eletrodomésticos;04/12/2012; R$ 790,00 
SKU-0000015;Geladeira Duplex;Eletrodomésticos;04/12/2012; R$ 790,00 
SKU-0000016;Lavadora 11 Kg;Eletrodomésticos;02/01/2013; R$ 120,00 
SKU-0000017;Lavadora 11 Kg;Eletrodomésticos;02/02/2013; R$ 120,00 
SKU-0000018;Lavadora 11 Kg;Eletrodomésticos;02/03/2013; R$ 120,00 
SKU-0000019;Lavadora 11 Kg;Eletrodomésticos;02/04/2013; R$ 120,00 
SKU-0000020;Lavadora 11 Kg;Eletrodomésticos;02/05/2013; R$ 120,00 
SKU-0000021;Lavadora 11 Kg;Eletrodomésticos;02/06/2013; R$ 120,00 
SKU-0000022;Lavadora 11 Kg;Eletrodomésticos;02/07/2013; R$ 120,00 
SKU-0000023;Lavadora 11 Kg;Eletrodomésticos;02/08/2013; R$ 120,00 
SKU-0000024;Lavadora 11 Kg;Eletrodomésticos;02/09/2013; R$ 120,00 
SKU-0000025;Lavadora 11 Kg;Eletrodomésticos;02/10/2013; R$ 120,00 
SKU-0000026;Lavadora 11 Kg;Eletrodomésticos;02/11/2013; R$ 120,00 
SKU-0000027;Lavadora 11 Kg;Eletrodomésticos;02/12/2013; R$ 120,00 
SKU-0000028;Geladeira Duplex;Eletrodomésticos;02/01/2013; R$ 120,00 
SKU-0000029;Geladeira Duplex;Eletrodomésticos;02/02/2013; R$ 120,00 
SKU-0000030;Geladeira Duplex;Eletrodomésticos;02/03/2013; R$ 120,00 
SKU-0000031;Geladeira Duplex;Eletrodomésticos;02/04/2013; R$ 120,00 
SKU-0000032;Geladeira Duplex;Eletrodomésticos;02/05/2013; R$ 120,00 
SKU-0000033;Geladeira Duplex;Eletrodomésticos;02/06/2013; R$ 120,00 
SKU-0000034;Geladeira Duplex;Eletrodomésticos;02/07/2013; R$ 120,00 
SKU-0000035;Geladeira Duplex;Eletrodomésticos;02/08/2013; R$ 120,00 
SKU-0000036;Geladeira Duplex;Eletrodomésticos;02/09/2013; R$ 120,00 
SKU-0000037;Geladeira Duplex;Eletrodomésticos;02/10/2013; R$ 120,00 
SKU-0000038;Geladeira Duplex;Eletrodomésticos;02/11/2013; R$ 120,00 
SKU-0000039;Geladeira Duplex;Eletrodomésticos;02/12/2013; R$ 120,00 
SKU-0000040;Notebook Dell 8 GB;Eletrônicos;01/01/2012; R$ 120,00 
SKU-0000041;Notebook Dell 8 GB;Eletrônicos;01/02/2012; R$ 120,00 
SKU-0000042;Notebook Dell 8 GB;Eletrônicos;01/03/2012; R$ 120,00 
SKU-0000043;Notebook Dell 8 GB;Eletrônicos;01/04/2012; R$ 120,00 
SKU-0000044;Notebook Dell 8 GB;Eletrônicos;01/05/2012; R$ 120,00 
SKU-0000045;Notebook Dell 8 GB;Eletrônicos;01/06/2012; R$ 120,00 
SKU-0000046;Notebook Dell 8 GB;Eletrônicos;01/07/2012; R$ 120,00 
SKU-0000047;Notebook Dell 8 GB;Eletrônicos;01/08/2012; R$ 120,00 
SKU-0000048;Notebook Dell 8 GB;Eletrônicos;01/09/2012; R$ 120,00 
SKU-0000049;Notebook Dell 8 GB;Eletrônicos;01/10/2012; R$ 120,00 
SKU-0000050;Desktop 32 GB;Eletrônicos;01/11/2012; R$ 120,00 
SKU-0000051;Desktop 32 GB;Eletrônicos;01/12/2012; R$ 120,00 
SKU-0000052;Desktop 32 GB;Eletrônicos;02/01/2013; R$ 120,00 
SKU-0000053;Desktop 32 GB;Eletrônicos;02/02/2013; R$ 120,00 
SKU-0000054;Desktop 32 GB;Eletrônicos;02/03/2013; R$ 120,00 
SKU-0000055;Desktop 32 GB;Eletrônicos;02/04/2013; R$ 120,00 
SKU-0000056;Desktop 32 GB;Eletrônicos;02/05/2013; R$ 120,00 
SKU-0000057;Desktop 32 GB;Eletrônicos;02/06/2013; R$ 120,00 
SKU-0000058;Desktop 32 GB;Eletrônicos;02/07/2013; R$ 120,00 
SKU-0000059;Desktop 32 GB;Eletrônicos;02/08/2013; R$ 120,00 
SKU-0000060;Desktop HP 16 GB;Eletrônicos;02/09/2013; R$ 120,00 
SKU-0000061;Desktop HP 16 GB;Eletrônicos;02/10/2013; R$ 120,00 
SKU-0000062;Desktop HP 16 GB;Eletrônicos;02/11/2013; R$ 120,00 
SKU-0000063;Desktop HP 16 GB;Eletrônicos;02/12/2013; R$ 120,00 
SKU-0000064;Micro-Ondas;Eletrodomésticos;01/01/2012; R$ 120,00 
SKU-0000065;Grill;Eletrodomésticos;01/02/2012; R$ 120,00 
SKU-0000066;Micro-Ondas;Eletrodomésticos;01/03/2012; R$ 120,00 
SKU-0000067;Forno-Micro-Ondas;Eletrodomésticos;01/04/2012; R$ 120,00 
SKU-0000068;Micro-Ondas;Eletrodomésticos;01/05/2012; R$ 120,00 
SKU-0000069;Micro-Ondas;Eletrodomésticos;01/06/2012; R$ 120,00 
SKU-0000070;Micro-Ondas;Eletrodomésticos;01/07/2012; R$ 120,00 
SKU-0000071;Micro-Ondas;Eletrodomésticos;01/08/2012; R$ 120,00 
SKU-0000072;Micro-Ondas;Eletrodomésticos;01/09/2012; R$ 120,00 
SKU-0000073;Micro-Ondas;Eletrodomésticos;01/10/2012; R$ 120,00 
SKU-0000074;Micro-Ondas;Eletrodomésticos;01/11/2012; R$ 120,00 
SKU-0000075;Micro-Ondas;Eletrodomésticos;01/12/2012; R$ 120,00 
SKU-0000076;Micro-Ondas;Eletrodomésticos;02/01/2013; R$ 120,00 
SKU-0000077;Micro-Ondas;Eletrodomésticos;02/02/2013; R$ 120,00 
SKU-0000078;Grill;Eletrodomésticos;02/03/2013; R$ 120,00 
SKU-0000079;Grill;Eletrodomésticos;02/04/2013; R$ 120,00 
SKU-0000080;Grill;Eletrodomésticos;02/05/2013; R$ 120,00 
SKU-0000081;Micro-Ondas;Eletrodomésticos;02/06/2013; R$ 120,00 
SKU-0000082;Micro-Ondas;Eletrodomésticos;02/07/2013; R$ 120,00 
SKU-0000083;Forno-Micro-Ondas;Eletrodomésticos;02/08/2013; R$ 120,00 
SKU-0000084;Forno-Micro-Ondas;Eletrodomésticos;02/09/2013; R$ 120,00 
SKU-0000085;Forno-Micro-Ondas;Eletrodomésticos;02/10/2013; R$ 120,00 
SKU-0000086;Forno-Micro-Ondas;Eletrodomésticos;02/11/2013; R$ 120,00 
SKU-0000087;Forno-Micro-Ondas;Eletrodomésticos;02/12/2013; R$ 120,00 
SKU-0000088;Fritadeira;Eletroportáteis;02/01/2013; R$ 120,00 
SKU-0000089;Ar Condicionado;Eletrodomésticos;02/02/2013; R$ 120,00 
SKU-0000090;Aspirador;Eletroportáteis;02/03/2013; R$ 120,00 
SKU-0000091;Ar Condicionado;Eletrodomésticos;02/04/2013; R$ 120,00 
SKU-0000092;Aspirador;Eletroportáteis;02/05/2013; R$ 120,00 
SKU-0000093;Ar Condicionado;Eletrodomésticos;02/06/2013; R$ 120,00 
SKU-0000094;Aspirador;Eletroportáteis;02/07/2013; R$ 120,00 
SKU-0000095;Ar Condicionado;Eletrodomésticos;02/08/2013; R$ 120,00 
SKU-0000096;Aspirador;Eletroportáteis;02/09/2013; R$ 120,00 
SKU-0000097;Ar Condicionado;Eletrodomésticos;02/10/2013; R$ 120,00 
SKU-0000098;Aspirador;Eletroportáteis;02/11/2013; R$ 120,00 
SKU-0000099;Aspirador;Eletroportáteis;02/12/2013; R$ 120,00 
SKU-0000100;Aspirador;Eletroportáteis;02/01/2013; R$ 120,00 
SKU-0000101;Aspirador;Eletroportáteis;02/02/2013; R$ 120,00 
SKU-0000102;Aspirador;Eletroportáteis;02/03/2013; R$ 120,00 
SKU-0000103;Aspirador;Eletroportáteis;02/04/2013; R$ 120,00 
SKU-0000104;Aspirador;Eletroportáteis;02/05/2013; R$ 120,00 
SKU-0000105;Aspirador;Eletroportáteis;02/06/2013; R$ 120,00 
SKU-0000106;Aspirador;Eletroportáteis;02/07/2013; R$ 120,00 
SKU-0000107;Aspirador;Eletroportáteis;02/08/2013; R$ 120,00 
SKU-0000108;Aspirador;Eletroportáteis;02/09/2013; R$ 120,00 
SKU-0000109;Aspirador;Eletroportáteis;02/10/2013; R$ 120,00 
SKU-0000110;Aspirador;Eletroportáteis;02/11/2013; R$ 120,00 
SKU-0000111;Aspirador;Eletroportáteis;02/12/2013; R$ 120,00 
SKU-0000112;Impressora Deskjet;Eletrônicos;02/01/2013; R$ 120,00 
SKU-0000113;Impressora Deskjet;Eletrônicos;02/02/2013; R$ 120,00 
SKU-0000114;Impressora Deskjet;Eletrônicos;02/03/2013; R$ 120,00 
SKU-0000115;Impressora Deskjet;Eletrônicos;02/04/2013; R$ 120,00 
SKU-0000116;Impressora Deskjet;Eletrônicos;02/05/2013; R$ 120,00 
SKU-0000117;Impressora Deskjet;Eletrônicos;02/06/2013; R$ 120,00 
SKU-0000118;Impressora Deskjet;Eletrônicos;02/07/2013; R$ 120,00 
SKU-0000119;Impressora Deskjet;Eletrônicos;02/08/2013; R$ 120,00 
SKU-0000120;Impressora Deskjet;Eletrônicos;02/09/2013; R$ 120,00 
SKU-0000121;Impressora Deskjet;Eletrônicos;02/10/2013; R$ 120,00 
SKU-0000122;Impressora Deskjet;Eletrônicos;02/11/2013; R$ 120,00 
SKU-0000123;Impressora Deskjet;Eletrônicos;02/12/2013; R$ 120,00 
SKU-0000124;Secadora Vapor;Eletrodomésticos;02/01/2013; R$ 120,00 
SKU-0000125;Secadora Vapor;Eletrodomésticos;02/02/2013; R$ 120,00 
SKU-0000126;Secadora Vapor;Eletrodomésticos;02/03/2013; R$ 120,00 
SKU-0000127;Secadora Vapor;Eletrodomésticos;02/04/2013; R$ 120,00 
SKU-0000128;Secadora Vapor;Eletrodomésticos;02/05/2013; R$ 120,00 
SKU-0000129;Secadora Vapor;Eletrodomésticos;02/06/2013; R$ 120,00 
SKU-0000130;Secadora Vapor;Eletrodomésticos;02/07/2013; R$ 120,00 
SKU-0000131;Secadora Vapor;Eletrodomésticos;02/08/2013; R$ 120,00 
SKU-0000132;Secadora Vapor;Eletrodomésticos;02/09/2013; R$ 120,00 
SKU-0000133;Secadora Vapor;Eletrodomésticos;02/10/2013; R$ 120,00 
SKU-0000134;Secadora Vapor;Eletrodomésticos;02/11/2013; R$ 120,00 
SKU-0000135;Secadora Vapor;Eletrodomésticos;02/12/2013; R$ 120,00 
SKU-0000136;Geladeira Duplex;Eletrodomésticos;09/01/2013; R$ 120,00 
SKU-0000137;Geladeira Duplex;Eletrodomésticos;10/01/2013; R$ 120,00 
SKU-0000138;Geladeira Duplex;Eletrodomésticos;11/02/2013; R$ 120,00 
SKU-0000139;Geladeira Duplex;Eletrodomésticos;12/03/2013; R$ 120,00 
SKU-0000140;Samsung Galaxy 8;Celulares;13/03/2013; R$ 120,00 
SKU-0000141;Geladeira Duplex;Eletrodomésticos;14/03/2013; R$ 120,00 
SKU-0000142;Sony Experia XA;Celulares;15/04/2013; R$ 120,00 
SKU-0000143;Geladeira Duplex;Eletrodomésticos;16/04/2013; R$ 120,00 
SKU-0000144;Geladeira Duplex;Eletrodomésticos;17/05/2013; R$ 120,00 
SKU-0000145;Geladeira Duplex;Eletrodomésticos;18/05/2013; R$ 120,00 
SKU-0000146;Geladeira Duplex;Eletrodomésticos;19/05/2013; R$ 120,00 
SKU-0000147;Geladeira Duplex;Eletrodomésticos;20/06/2013; R$ 120,00 
SKU-0000148;Samsung Galaxy 8;Celulares;21/07/2013; R$ 120,00 
SKU-0000149;Geladeira Duplex;Eletrodomésticos;22/07/2013; R$ 120,00 
SKU-0000150;Geladeira Duplex;Eletrodomésticos;23/09/2013; R$ 120,00 
SKU-0000151;Samsung Galaxy 8;Celulares;24/10/2013; R$ 120,00 
SKU-0000152;Geladeira Duplex;Eletrodomésticos;25/11/2013; R$ 120,00 
SKU-0000153;Geladeira Duplex;Eletrodomésticos;26/11/2013; R$ 120,00 
SKU-0000154;Geladeira Duplex;Eletrodomésticos;27/11/2013; R$ 120,00 
SKU-0000155;Samsung Galaxy 8;Celulares;04/10/2014; R$ 120,00 
SKU-0000156;Geladeira Duplex;Eletrodomésticos;01/01/2014; R$ 120,00 
SKU-0000157;Samsung Galaxy 8;Celulares;02/02/2014; R$ 120,00 
SKU-0000158;Samsung Galaxy 8;Celulares;03/03/2014; R$ 120,00 
SKU-0000159;Samsung Galaxy 8;Celulares;04/04/2014; R$ 120,00 
SKU-0000160;Samsung Galaxy 8;Celulares;04/05/2014; R$ 120,00 
SKU-0000161;Geladeira Duplex;Eletrodomésticos;04/06/2014; R$ 120,00 
SKU-0000162;Geladeira Duplex;Eletrodomésticos;04/07/2014; R$ 120,00 
SKU-0000163;Geladeira Duplex;Eletrodomésticos;04/08/2014; R$ 120,00 
SKU-0000164;Geladeira Duplex;Eletrodomésticos;04/09/2014; R$ 120,00 
SKU-0000165;Geladeira Duplex;Eletrodomésticos;04/11/2014; R$ 120,00 
SKU-0000166;Geladeira Duplex;Eletrodomésticos;04/11/2014; R$ 120,00 
SKU-0000167;Geladeira Duplex;Eletrodomésticos;04/12/2014; R$ 120,00 
SKU-0000168;Geladeira Duplex;Eletrodomésticos;04/12/2014; R$ 120,00 
SKU-0000169;Geladeira Duplex;Eletrodomésticos;02/01/2015; R$ 120,00 
SKU-0000170;Samsung Galaxy 8;Celulares;02/02/2015; R$ 120,00 
SKU-0000171;Samsung Galaxy 8;Celulares;02/03/2015; R$ 120,00 
SKU-0000172;Samsung Galaxy 8;Celulares;02/04/2015; R$ 120,00 
SKU-0000173;Samsung Galaxy 8;Celulares;02/05/2015; R$ 120,00 
SKU-0000174;Samsung Galaxy 8;Celulares;02/06/2015; R$ 120,00 
SKU-0000175;Samsung Galaxy 8;Celulares;02/07/2015; R$ 120,00 
SKU-0000176;Samsung Galaxy 8;Celulares;02/08/2015; R$ 120,00 
SKU-0000177;Samsung Galaxy 8;Celulares;02/09/2015; R$ 120,00 
SKU-0000178;Morotola Moto G5;Celulares;02/10/2015; R$ 120,00 
SKU-0000179;Morotola Moto G5;Celulares;02/11/2015; R$ 120,00 
SKU-0000180;Morotola Moto G5;Celulares;02/12/2015; R$ 120,00 
SKU-0000181;Morotola Moto G5;Celulares;02/01/2015; R$ 120,00 
SKU-0000182;Geladeira Duplex;Eletrodomésticos;02/02/2015; R$ 120,00 
SKU-0000183;Geladeira Duplex;Eletrodomésticos;02/03/2015; R$ 120,00 
SKU-0000184;Geladeira Duplex;Eletrodomésticos;02/04/2015; R$ 120,00 
SKU-0000185;Geladeira Duplex;Eletrodomésticos;02/05/2015; R$ 120,00 
SKU-0000186;Geladeira Duplex;Eletrodomésticos;02/06/2015; R$ 120,00 
SKU-0000187;Geladeira Duplex;Eletrodomésticos;02/07/2015; R$ 120,00 
SKU-0000188;Geladeira Duplex;Eletrodomésticos;02/08/2015; R$ 120,00 
SKU-0000189;Geladeira Duplex;Eletrodomésticos;02/09/2015; R$ 120,00 
SKU-0000190;Geladeira Duplex;Eletrodomésticos;02/10/2015; R$ 120,00 
SKU-0000191;Geladeira Duplex;Eletrodomésticos;02/11/2015; R$ 120,00 
SKU-0000192;Geladeira Duplex;Eletrodomésticos;02/12/2015; R$ 120,00 
SKU-0000193;Geladeira Duplex;Eletrodomésticos;01/01/2014; R$ 120,00 
SKU-0000194;Aspirador;Eletroportáteis;01/02/2014; R$ 120,00 
SKU-0000195;Aspirador;Eletroportáteis;01/03/2014; R$ 120,00 
SKU-0000196;Aspirador;Eletroportáteis;01/04/2014; R$ 120,00 
SKU-0000197;Aspirador;Eletroportáteis;01/05/2014; R$ 120,00 
SKU-0000198;Fritadeira;Eletroportáteis;01/06/2014; R$ 120,00 
SKU-0000199;Fritadeira;Eletroportáteis;01/07/2014; R$ 120,00 
SKU-0000200;Fritadeira;Eletroportáteis;01/08/2014; R$ 120,00 
SKU-0000201;Fritadeira;Eletroportáteis;01/09/2014; R$ 120,00 
SKU-0000202;Fritadeira;Eletroportáteis;01/10/2014; R$ 120,00 
SKU-0000203;Fritadeira;Eletroportáteis;01/11/2014; R$ 120,00 
SKU-0000204;Fritadeira;Eletroportáteis;01/12/2014; R$ 120,00 
SKU-0000205;Fritadeira;Eletroportáteis;02/01/2015; R$ 120,00 
SKU-0000206;Fritadeira;Eletroportáteis;02/02/2015; R$ 120,00 
SKU-0000207;Fritadeira;Eletroportáteis;02/03/2015; R$ 120,00 
SKU-0000208;Fritadeira;Eletroportáteis;02/04/2015; R$ 120,00 
SKU-0000209;Fritadeira;Eletroportáteis;02/05/2015; R$ 120,00 
SKU-0000210;Fritadeira;Eletroportáteis;02/06/2015; R$ 120,00 
SKU-0000211;Fritadeira;Eletroportáteis;02/07/2015; R$ 120,00 
SKU-0000212;Fritadeira;Eletroportáteis;02/08/2015; R$ 120,00 
SKU-0000213;Fritadeira;Eletroportáteis;02/09/2015; R$ 120,00 
SKU-0000214;Fritadeira;Eletroportáteis;02/10/2015; R$ 120,00 
SKU-0000215;Fritadeira;Eletroportáteis;02/11/2015; R$ 120,00 
SKU-0000216;Fritadeira;Eletroportáteis;02/12/2015; R$ 120,00 
SKU-0000217;Aspirador;Eletroportáteis;01/01/2014; R$ 120,00 
SKU-0000218;Forno-Micro-Ondas;Eletrodomésticos;01/02/2014; R$ 120,00 
SKU-0000219;Forno-Micro-Ondas;Eletrodomésticos;01/03/2014; R$ 120,00 
SKU-0000220;Grill;Eletrodomésticos;01/04/2014; R$ 120,00 
SKU-0000221;Grill;Eletrodomésticos;01/05/2014; R$ 120,00 
SKU-0000222;Grill;Eletrodomésticos;01/06/2014; R$ 120,00 
SKU-0000223;Grill;Eletrodomésticos;01/07/2014; R$ 120,00 
SKU-0000224;Grill;Eletrodomésticos;01/08/2014; R$ 120,00 
SKU-0000225;Forno-Micro-Ondas;Eletrodomésticos;01/09/2014; R$ 120,00 
SKU-0000226;Forno-Micro-Ondas;Eletrodomésticos;01/10/2014; R$ 120,00 
SKU-0000227;Forno-Micro-Ondas;Eletrodomésticos;01/11/2014; R$ 120,00 
SKU-0000228;Micro-Ondas;Eletrodomésticos;01/12/2014; R$ 120,00 
